                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.035,                 1.0475,                 1.1672,                0.80897,                0.71778,                0.80315,                0.57453,                 1.0327,                0.91987,                 1.1623,               0.004258,               0.004258,               0.004258
                     60,                 1.0336,                 1.0432,                 1.1617,                0.81615,                0.71886,                0.80352,                0.57719,                 1.0277,                0.91961,                 1.1609,               0.004159,               0.004159,               0.004159
                     61,                  1.025,                 1.0327,                 1.1582,                0.81254,                0.71659,                0.79994,                0.57759,                 1.0269,                0.92505,                 1.1624,                0.00406,                0.00406,                0.00406
                     62,                 1.0256,                 1.0295,                 1.1586,                0.81521,                0.71227,                0.80128,                0.57753,                 1.0239,                0.92561,                 1.1562,               0.003961,               0.003961,               0.003961
                     63,                 1.0173,                 1.0186,                  1.154,                0.83613,                0.71377,                0.80593,                0.57287,                 1.0291,                0.92222,                 1.1622,               0.003862,               0.003862,               0.003862
                     64,                 1.0206,                 1.0234,                 1.1563,                0.84061,                0.70809,                0.80586,                0.57144,                 1.0255,                0.92354,                 1.1584,               0.003763,               0.003763,               0.003763
                     65,                 1.0186,                 1.0112,                  1.153,                 0.8099,                0.72346,                0.80832,                 0.5755,                 1.0246,                0.91837,                  1.158,               0.003664,               0.003664,               0.003664
                     66,                 1.0172,                 1.0053,                 1.1553,                0.82892,                0.71829,                0.80974,                 0.5752,                 1.0285,                0.91724,                 1.1623,               0.003565,               0.003565,               0.003565
                     67,                 1.0036,                0.99756,                  1.148,                0.81361,                0.72599,                0.81051,                0.58303,                 1.0218,                0.90742,                 1.1609,               0.003466,               0.003466,               0.003466
                     68,                 1.0077,                 0.9933,                  1.143,                 0.8253,                0.71877,                0.81325,                 0.5819,                 1.0203,                0.89727,                 1.1601,               0.003367,               0.003367,               0.003367
                     69,                0.99398,                0.96593,                 1.1381,                0.81352,                0.72393,                0.80977,                0.57994,                 1.0208,                0.90442,                 1.1576,               0.003268,               0.003268,               0.003268
                     70,                  0.999,                0.97758,                 1.1408,                0.81745,                 0.7219,                0.81322,                 0.5816,                 1.0257,                 0.9061,                 1.1614,               0.003169,               0.003169,               0.003169
                     71,                0.99232,                0.96354,                 1.1349,                0.82532,                0.71956,                0.81267,                0.58282,                 1.0237,                0.90023,                 1.1609,                0.00307,                0.00307,                0.00307
                     72,                0.98714,                0.95337,                 1.1331,                0.84101,                0.71119,                0.81501,                 0.5841,                 1.0163,                 0.8919,                 1.1547,               0.002971,               0.002971,               0.002971
                     73,                0.98271,                0.95275,                 1.1344,                0.84014,                0.71714,                0.81827,                0.58667,                 1.0207,                0.89231,                 1.1584,               0.002872,               0.002872,               0.002872
                     74,                0.98062,                0.93758,                 1.1284,                 0.8132,                0.73156,                0.81801,                0.58858,                 1.0134,                0.89006,                 1.1561,               0.002773,               0.002773,               0.002773
                     75,                0.97109,                0.93029,                 1.1256,                0.81918,                0.72271,                0.81778,                0.59097,                 1.0101,                0.88794,                 1.1514,               0.002674,               0.002674,               0.002674
                     76,                0.97589,                0.93582,                 1.1278,                0.80687,                0.73662,                0.81745,                0.58902,                 1.0109,                0.88647,                 1.1523,               0.002575,               0.002575,               0.002575
                     77,                 0.9675,                0.91497,                 1.1196,                0.80348,                0.73721,                0.81768,                0.59035,                  1.013,                0.88659,                 1.1519,               0.002476,               0.002476,               0.002476
                     78,                 0.9656,                0.91583,                 1.1228,                0.80744,                0.72468,                0.81413,                0.58965,                 1.0114,                0.88844,                  1.151,               0.002377,               0.002377,               0.002377
                     79,                0.96495,                0.91231,                 1.1199,                 0.8036,                0.73586,                0.81396,                0.58973,                 1.0104,                0.88827,                 1.1522,               0.002278,               0.002278,               0.002278
                     80,                0.95328,                0.90576,                 1.1173,                0.81853,                0.71538,                0.81227,                0.59047,                 1.0076,                0.88678,                 1.1502,               0.002179,               0.002179,               0.002179
                     81,                0.95644,                0.90101,                 1.1174,                0.83191,                0.71394,                 0.8127,                0.58904,                 1.0126,                0.88982,                 1.1557,                0.00208,                0.00208,                0.00208
                     82,                0.94737,                0.88126,                 1.1097,                0.82658,                0.71544,                  0.812,                0.59008,                 1.0116,                0.88333,                 1.1525,               0.001981,               0.001981,               0.001981
                     83,                  0.956,                0.88664,                 1.1141,                0.80049,                0.73809,                0.81222,                0.59188,                 1.0079,                0.88184,                 1.1506,               0.001882,               0.001882,               0.001882
                     84,                0.94482,                0.87447,                 1.1079,                0.83209,                 0.7241,                0.81669,                0.59126,                 1.0077,                0.87598,                 1.1501,               0.001783,               0.001783,               0.001783
                     85,                0.94539,                 0.8716,                 1.1061,                0.83655,                0.71966,                0.81577,                0.59271,                 1.0089,                 0.8773,                 1.1502,               0.001684,               0.001684,               0.001684
                     86,                0.93955,                0.87225,                 1.1074,                0.84316,                0.72223,                0.81757,                0.59359,                 1.0123,                0.87658,                 1.1548,               0.001585,               0.001585,               0.001585
                     87,                 0.9423,                 0.8615,                 1.1053,                0.84251,                0.71818,                0.81924,                0.59449,                 1.0135,                0.87287,                 1.1569,               0.001486,               0.001486,               0.001486
                     88,                0.93617,                0.86195,                 1.1052,                0.84223,                0.72426,                 0.8214,                0.59611,                 1.0144,                0.87137,                  1.157,               0.001387,               0.001387,               0.001387
                     89,                0.92903,                0.85372,                 1.0982,                0.84237,                0.72703,                0.82235,                0.59688,                  1.014,                0.86961,                 1.1571,               0.001288,               0.001288,               0.001288
                     90,                0.92138,                0.83583,                 1.0941,                0.83867,                0.72519,                0.82183,                0.59703,                 1.0137,                0.86882,                 1.1559,               0.001189,               0.001189,               0.001189
